         (Electr.)	mV/V     (Electr.)	mV/V     (Electr.)	mV/V     (Electr.)	mV/V     (Electr.)
         (Engin.)	N        (Engin.)	N        (Engin.)	N        (Engin.)	N        (Engin.)
0  Nominal value	-55.3 N Nominal value	-77.02 N Nominal value	-68.43999 N Nominal value	-56.14 N Nominal value
Not available ID=0	Net signal ID=215	Net signal ID=215	Net signal ID=215	Net signal ID=215
Scaling = Engineering units ID=0	Scaling = Engineering units ID=0	Scaling = Engineering units ID=0	Scaling = Engineering units ID=0	Scaling = Engineering units ID=0
Not available ID=0	5 V excitation ID=14	5 V excitation ID=14	5 V excitation ID=14	5 V excitation ID=14
Filter = Not available ID=0	Filter = Butterworth lowpass ID=141	Filter = Butterworth lowpass ID=141	Filter = Butterworth lowpass ID=141	Filter = Butterworth lowpass ID=141
fg = Not available ID=0	fg = 5 Hz ID=935	fg = 5 Hz ID=935	fg = 5 Hz ID=935	fg = 5 Hz ID=935
6.340	-0.002	-0.003	-0.693	-0.661
6.360	-0.002	-0.002	-0.578	-0.534
6.380	0.003	0.005	-0.388	-0.397
6.400	0.006	0.004	-0.163	-0.233
6.420	0.003	0.005	0.040	-0.053
6.440	0.001	0.007	0.163	0.070
6.460	0.000	0.004	0.187	0.102
6.480	-0.002	-0.001	0.111	0.041
6.500	-0.001	0.000	-0.055	-0.127
6.520	0.004	0.004	-0.276	-0.355
6.540	0.004	0.001	-0.494	-0.551
6.560	0.002	0.002	-0.665	-0.679
6.580	0.000	0.005	-0.742	-0.733
6.600	-0.001	0.000	-0.695	-0.685
6.620	-0.002	-0.003	-0.543	-0.554
6.640	0.001	0.002	-0.338	-0.401
6.660	0.005	0.005	-0.138	-0.251
6.680	0.003	0.003	0.006	-0.117
6.700	0.002	0.005	0.059	-0.044
6.720	0.001	0.008	0.026	-0.047
6.740	-0.002	0.000	-0.071	-0.118
6.760	-0.001	-0.003	-0.216	-0.265
6.780	0.003	0.002	-0.381	-0.458
6.800	0.003	0.003	-0.522	-0.596
6.820	0.001	0.001	-0.598	-0.632
6.840	0.001	0.005	-0.586	-0.589
6.860	0.000	0.006	-0.477	-0.480
6.880	-0.002	-0.002	-0.293	-0.332
6.900	0.001	-0.002	-0.085	-0.194
6.920	0.005	0.005	0.095	-0.070
6.940	0.003	0.003	0.202	0.042
6.960	0.002	0.003	0.205	0.076
6.980	0.001	0.008	0.104	-0.011
7.000	-0.002	0.005	-0.068	-0.175
7.020	-0.003	-0.004	-0.269	-0.369
7.040	0.001	-0.002	-0.459	-0.545
7.060	0.003	0.003	-0.587	-0.629
7.080	0.001	0.001	-0.616	-0.597
7.100	0.001	0.003	-0.532	-0.494
7.120	0.001	0.008	-0.349	-0.360
7.140	-0.002	0.002	-0.117	-0.199
7.160	-0.001	-0.003	0.086	-0.050
7.180	0.004	0.002	0.203	0.067
7.200	0.003	0.005	0.226	0.153
7.220	0.002	0.003	0.160	0.151
7.240	0.004	0.005	0.022	0.010
7.260	0.001	0.008	-0.162	-0.225
7.280	-0.003	-0.001	-0.363	-0.469
7.300	0.000	-0.004	-0.556	-0.657
7.320	0.002	0.002	-0.686	-0.716
7.340	0.000	0.003	-0.705	-0.646
7.360	0.003	0.002	-0.604	-0.529
7.380	0.005	0.005	-0.398	-0.398
7.400	0.000	0.006	-0.139	-0.249
7.420	-0.002	0.000	0.074	-0.125
7.440	0.001	0.000	0.173	-0.036
7.460	0.001	0.006	0.148	0.024
7.480	0.001	0.004	0.031	0.002
7.500	0.005	0.004	-0.135	-0.135
7.520	0.005	0.005	-0.302	-0.330
7.540	0.000	0.002	-0.448	-0.519
7.560	-0.001	-0.002	-0.559	-0.662
7.580	0.000	-0.001	-0.621	-0.705
7.600	-0.002	0.004	-0.610	-0.617
7.620	0.001	0.004	-0.518	-0.477
7.640	0.007	0.004	-0.361	-0.344
7.660	0.005	0.005	-0.168	-0.216
7.680	0.000	0.003	-0.001	-0.121
7.700	0.001	0.001	0.080	-0.087
7.720	-0.001	0.002	0.052	-0.092
7.740	-0.003	0.006	-0.064	-0.122
7.760	0.003	0.005	-0.220	-0.212
7.780	0.007	0.004	-0.363	-0.339
7.800	0.004	0.004	-0.441	-0.423
7.820	0.000	0.000	-0.448	-0.457
7.840	0.002	0.000	-0.400	-0.454
7.860	-0.002	0.002	-0.315	-0.389
7.880	-0.003	0.005	-0.220	-0.281
7.900	0.005	0.006	-0.139	-0.199
7.920	0.007	0.004	-0.086	-0.158
7.940	0.002	0.003	-0.075	-0.151
7.960	0.002	0.000	-0.118	-0.207
7.980	0.001	0.000	-0.199	-0.292
8.000	-0.004	0.002	-0.279	-0.340
8.020	-0.002	0.004	-0.331	-0.349
8.040	0.008	0.006	-0.343	-0.353
8.060	0.006	0.003	-0.304	-0.335
8.080	0.001	0.001	-0.231	-0.298
8.100	0.003	0.001	-0.161	-0.275
8.120	0.000	0.000	-0.111	-0.242
8.140	-0.005	0.003	-0.092	-0.191
8.160	0.002	0.006	-0.106	-0.174
8.180	0.009	0.007	-0.141	-0.205
8.200	0.004	0.002	-0.176	-0.243
8.220	0.001	0.000	-0.207	-0.278
8.240	0.004	0.001	-0.240	-0.323
8.260	-0.003	0.000	-0.262	-0.333
8.280	-0.006	0.002	-0.257	-0.293
8.300	0.004	0.007	-0.231	-0.260
8.320	0.008	0.006	-0.196	-0.247
8.340	0.002	0.001	-0.173	-0.249
8.360	0.002	-0.001	-0.190	-0.287
8.380	0.002	0.001	-0.249	-0.350
8.400	-0.006	0.000	-0.323	-0.390
8.420	-0.005	0.002	-0.379	-0.393
8.440	0.007	0.008	-0.398	-0.388
8.460	0.007	0.004	-0.358	-0.356
8.480	0.001	-0.001	-0.268	-0.289
8.500	0.004	0.000	-0.160	-0.212
8.520	0.001	0.002	-0.068	-0.144
8.540	-0.008	0.001	-0.018	-0.095
8.560	-0.001	0.004	-0.021	-0.094
8.580	0.009	0.009	-0.080	-0.151
8.600	0.005	0.003	-0.176	-0.232
8.620	0.001	-0.001	-0.291	-0.322
8.640	0.004	0.001	-0.405	-0.431
8.660	-0.002	0.000	-0.491	-0.524
8.680	-0.009	-0.001	-0.524	-0.556
8.700	0.002	0.004	-0.491	-0.518
8.720	0.009	0.009	-0.398	-0.421
8.740	0.003	0.003	-0.264	-0.285
8.760	0.003	-0.001	-0.126	-0.163
8.780	0.005	0.003	-0.030	-0.108
8.800	-0.005	0.001	0.005	-0.108
8.820	-0.008	0.000	-0.024	-0.130
